Class_Name,Top1_Accuracy,Top3_Accuracy,Top5_Accuracy,Samples
atoll butterflyfish,85.11,97.87,97.87,47
black-backed butterflyfish,96.0,100.0,100.0,50
crosshatch butterflyfish,97.37,97.37,97.37,38
fourspot butterflyfish,94.12,94.12,98.04,51
highfin coralfish,95.92,97.96,97.96,49
humphead bannerfish,91.84,97.96,97.96,49
indian redfin butterflyfish,86.79,94.34,96.23,53
indian vagabond butterflyfish,91.53,93.22,96.61,59
lined butterflyfish,94.0,98.0,98.0,50
long-beaked coralfish,97.96,100.0,100.0,49
longfin bannerfish,90.38,96.15,98.08,52
margined coralfish,88.89,100.0,100.0,27
masked bannerfish,94.12,98.04,98.04,51
ocellated coralfish,89.47,94.74,97.37,38
oval-spot butterflyfish,97.83,100.0,100.0,46
pacific double-saddle butterflyfish,90.2,94.12,94.12,51
panda butterflyfish,82.22,88.89,93.33,45
pennant bannerfish,83.33,89.58,93.75,48
phantom bannerfish,90.0,98.0,100.0,50
redfin butterflyfish,89.8,95.92,95.92,49
saddleback butterflyfish,94.12,98.04,98.04,51
speckled butterflyfish,93.88,97.96,97.96,49
teardrop butterflyfish,97.92,100.0,100.0,48
threadfin butterflyfish,90.91,98.18,100.0,55
triangular butterflyfish,94.12,98.04,100.0,51
two-eyed coralfish,97.37,100.0,100.0,38
vagabond butterflyfish,92.0,98.0,98.0,50
yellow-dotted butterflyfish,88.24,100.0,100.0,17
Class Mean,91.98,97.02,98.02,28
Overall,92.07,96.87,97.94,1311
